timestamp,location,country,temperature,feels_like,weather,humidity,wind_speed,wind_dir,pressure,uv_index
2025-07-16T00:14:05.757073,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:08.207548,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:10.656334,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:13.119191,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:15.574475,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:18.037624,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:20.488049,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:31.058392,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:41.838429,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:14:52.304495,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:02.760187,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:13.208075,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:23.632502,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:34.070488,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:44.517090,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:15:54.973175,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:16:05.414766,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:16:15.880603,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:16:26.307111,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:16:36.741895,Karachi,Pakistan,30,37,Smoke,75,21,WSW,1000,0
2025-07-16T00:16:47.578917,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:16:58.008894,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:17:08.462867,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:17:18.891670,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:17:29.332412,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:17:39.752219,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:17:50.220269,Karachi,Pakistan,30,37,Smoke,70,21,WSW,1001,0
2025-07-16T00:44:27.130192,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:03.828649,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:14.017001,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:24.202183,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:34.389669,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:44.593706,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:45:54.778782,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:05.023268,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:15.209240,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:25.508143,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:35.705195,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:45.893270,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:46:56.135591,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:06.441041,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:16.636022,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:26.808988,Karachi,Pakistan,30.0,36.6,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:37.152664,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:47.435397,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:47:57.626819,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:07.817009,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:18.014092,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:28.299703,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:38.496057,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:48.691346,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:48:58.877459,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:49:09.163699,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:49:19.351081,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:49:29.553403,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:49:39.750180,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:49:50.028824,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:50:00.220083,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
